"employees","salaries_2017","adjustments","salaries_2018","raise"
"Employee 1",47480.4783239961,6246.2672626134,53726.7455866095,TRUE
"Employee 2",40788.7480803765,-1648.03190738894,39140.7161729876,FALSE
"Employee 3",42736.1111855134,-1999.96599811129,40736.1451874021,FALSE
"Employee 4",41997.4836916663,-4445.18783828244,37552.2958533838,FALSE
"Employee 5",40231.374562718,-296.441052341834,39934.9335103761,FALSE
"Employee 6",42987.052211538,6183.64372756332,49170.6959391013,TRUE
"Employee 7",43973.3149390668,6766.92323875614,50740.2381778229,TRUE
"Employee 8",41565.1060570963,9551.49399698712,51116.6000540834,TRUE
"Employee 9",42839.684789069,-3976.52055020444,38863.1642388646,FALSE
"Employee 10",44634.9176182412,1070.15082146972,45705.0684397109,TRUE
"Employee 11",47619.8653015308,-1164.09237962216,46455.7729219086,FALSE
"Employee 12",44873.7505241297,-1804.96822227724,43068.7823018525,FALSE
"Employee 13",42996.8258412555,-294.775652000681,42702.0501892548,FALSE
"Employee 14",44199.1199250333,-415.864844108,43783.2550809253,FALSE
"Employee 15",40800.563772209,1622.29395820759,42422.8577304166,TRUE
"Employee 16",48785.971084144,-3705.32795670442,45080.6431274395,FALSE
"Employee 17",46146.05556475,3799.90540328436,49945.9609680343,TRUE
"Employee 18",43105.4108100943,6403.73361762613,49509.1444277205,TRUE
"Employee 19",49555.4048498161,564.300129190087,50119.7049790062,TRUE
"Employee 20",40146.3024131954,7488.65566565655,47634.9580788519,TRUE
"Employee 21",40119.6684525348,171.67373560369,40291.3421881385,TRUE
"Employee 22",48769.5234175771,-1576.82769582607,47192.6957217511,FALSE
"Employee 23",49183.1912589259,7270.47869702801,56453.669955954,TRUE
"Employee 24",48360.204519704,4186.54720881023,52546.7517285142,TRUE
"Employee 25",40153.1205698848,717.208230635151,40870.3288005199,TRUE
"Employee 26",40776.0436576791,8804.7357078176,49580.7793654967,TRUE
"Employee 27",47836.5245787427,6879.2865308933,54715.811109636,TRUE
"Employee 28",47967.0663247816,5404.886220349,53371.9525451306,TRUE
"Employee 29",43625.8904729038,9850.64035630785,53476.5308292117,TRUE
"Employee 30",46805.9197789989,9486.68975615874,56292.6095351577,TRUE
"Employee 31",46592.6438081078,2782.24914800376,49374.8929561116,TRUE
"Employee 32",48335.6950618327,-538.747466634959,47796.9475951977,FALSE
"Employee 33",48041.2811576389,9485.46551982872,57526.7466774676,TRUE
"Employee 34",46629.2460565455,8572.97334354371,55202.2194000892,TRUE
"Employee 35",45703.3398048952,2777.23457315005,48480.5743780453,TRUE
"Employee 36",47357.0252885111,3416.26810492016,50773.2933934312,TRUE
"Employee 37",43467.2092832625,358.75839763321,43825.9676808957,TRUE
"Employee 38",43990.1029947214,9661.59283765592,53651.6958323773,TRUE
"Employee 39",44270.1186193153,4119.76753850468,48389.88615782,TRUE
"Employee 40",40879.4844034128,-3208.5917564109,37670.8926470019,FALSE
"Employee 41",49560.6333296746,-664.976962143555,48895.656367531,FALSE
"Employee 42",45397.3344736733,6265.82575961947,51663.1602332927,TRUE
"Employee 43",48389.8642309941,6522.5274884142,54912.3917194083,TRUE
"Employee 44",46112.1305613779,1977.36192727461,48089.4924886525,TRUE
"Employee 45",44904.4318497181,1269.47151497006,46173.9033646882,TRUE
"Employee 46",45902.8599108569,4321.62787183188,50224.4877826888,TRUE
"Employee 47",45166.7414582334,-2547.61146148667,42619.1299967468,FALSE
"Employee 48",43291.6194829158,7017.25671533495,50308.8761982508,TRUE
"Employee 49",48834.7961893305,-4284.67272315174,44550.1234661788,FALSE
"Employee 50",42229.1554859839,-1751.256295247,40477.8991907369,FALSE
"Employee 51",43856.3139480539,9739.95177540928,53596.2657234631,TRUE
"Employee 52",40482.9396563582,-4734.36137079261,35748.5782855656,FALSE
"Employee 53",48755.0149764866,7544.26156752743,56299.276544014,TRUE
"Employee 54",44891.5669298731,7321.22032553889,52212.787255412,TRUE
"Employee 55",44574.949091766,4663.58766541816,49238.5367571842,TRUE
"Employee 56",45431.9522273727,5339.50977493078,50771.4620023035,TRUE
"Employee 57",49581.5668255091,-138.857235433534,49442.7095900755,FALSE
"Employee 58",45260.9121799469,2822.15335289948,48083.0655328464,TRUE
"Employee 59",49906.9594824687,9057.96145787463,58964.9209403433,TRUE
"Employee 60",41522.7733692154,-1821.78897317499,39700.9843960404,FALSE
"Employee 61",41044.9943761341,8919.61028100923,49964.6046571434,TRUE
"Employee 62",45748.4285649844,720.074069686234,46468.5026346706,TRUE
"Employee 63",44513.4571148083,2008.3212654572,46521.7783802655,TRUE
